id,user_id,merchant,amount,timestamp
1,69,Myntra,744.08,1780570988
2,70,Zomato,7502.05,1780570989
3,90,Zomato,6503.46,1780570989
4,46,Swiggy,5825.94,1780570989
5,82,Flipkart,4694.4,1780570989
6,23,Zomato,4656.89,1780570989
7,77,Flipkart,6854.38,1780570989
8,3,Zomato,956.1,1780570989
9,45,Swiggy,4957.45,1780570989
10,66,Flipkart,7524.06,1780570989
11,25,Myntra,3095.47,1780570989
12,55,Swiggy,6071.14,1780570990
13,8,Myntra,6498.59,1780570990
14,18,Flipkart,5655.13,1780570990
15,85,Flipkart,213.95,1780570990
16,58,Myntra,896.49,1780570990
17,54,Flipkart,6830.32,1780570990
18,57,Swiggy,3301.93,1780570990
19,98,Flipkart,840.45,1780570990
20,15,Zomato,9811.06,1780570990
21,21,Flipkart,3471.98,1780570991
22,43,Swiggy,378.69,1780570991
23,42,Flipkart,5584.21,1780570991
24,77,Amazon,626.46,1780570991
25,28,Zomato,7096.14,1780570991
26,33,Myntra,613.16,1780570991
27,20,Swiggy,8868.62,1780570991
28,68,Flipkart,9665.0,1780570991
29,27,Myntra,1467.56,1780570991
30,80,Amazon,1141.88,1780570991
31,33,Swiggy,6082.16,1780570992
32,21,Zomato,2786.34,1780570992
33,5,Zomato,3254.26,1780570992
34,61,Myntra,9247.52,1780570992
35,44,Flipkart,3141.36,1780570992
36,2,Amazon,935.63,1780570992
37,10,Myntra,5468.96,1780570992
38,35,Zomato,7872.72,1780571002
39,65,Swiggy,3923.78,1780571002
40,91,Amazon,5462.14,1780571003
41,39,Flipkart,2258.35,1780571003
42,52,Zomato,5630.01,1780571003
43,8,Flipkart,4683.79,1780571003
44,41,Flipkart,3988.73,1780571003
45,95,Flipkart,1111.97,1780571003
46,33,Flipkart,4592.58,1780571003
47,39,Zomato,7979.39,1780571003
48,72,Swiggy,2656.06,1780571003
49,13,Swiggy,5308.67,1780571003
50,84,Myntra,5363.09,1780571004
51,66,Zomato,7216.88,1780571004
52,29,Swiggy,6116.86,1780571004
53,51,Myntra,6184.48,1780571004
54,58,Amazon,1408.74,1780571004
55,50,Flipkart,4245.48,1780571004
56,4,Zomato,7120.65,1780571004
57,69,Amazon,7952.56,1780571004
58,100,Flipkart,5234.58,1780571004
59,81,Myntra,7882.71,1780571004
60,42,Amazon,9557.83,1780571005
61,11,Myntra,4433.33,1780571005
62,73,Flipkart,2015.6,1780571005
63,41,Amazon,9192.3,1780571005
64,6,Flipkart,4725.87,1780571005
65,5,Amazon,6897.16,1780571005
66,94,Myntra,6227.25,1780571005
67,58,Flipkart,4515.11,1780571005
68,30,Myntra,9464.74,1780571005
69,37,Swiggy,6093.6,1780571005
70,10,Amazon,4988.5,1780571006
71,97,Amazon,4785.26,1780571006
72,8,Myntra,1057.52,1780571006
73,15,Swiggy,2674.97,1780571006
74,46,Zomato,409.44,1780571006
75,30,Zomato,1290.78,1780571006
76,73,Amazon,5874.71,1780571006
77,99,Zomato,5347.9,1780571006
78,77,Swiggy,8956.8,1780571006
79,54,Swiggy,1574.47,1780571007
80,34,Swiggy,2076.66,1780571007
81,71,Amazon,7643.2,1780571007
82,79,Flipkart,8018.93,1780571007
83,45,Zomato,1123.49,1780571007
84,13,Flipkart,8305.23,1780571007
85,37,Myntra,3814.59,1780571007
86,1,Zomato,1438.86,1780571007
87,91,Zomato,6721.35,1780571007
88,66,Flipkart,8792.79,1780571007
89,42,Flipkart,2193.02,1780571008
90,87,Zomato,841.43,1780571008
91,69,Swiggy,2538.81,1780571008
92,53,Flipkart,5961.37,1780571008
93,8,Zomato,562.32,1780571008
94,60,Flipkart,1907.25,1780571008
95,11,Flipkart,696.22,1780571008
96,41,Swiggy,4711.43,1780571008
97,4,Swiggy,5886.66,1780571008
98,6,Flipkart,6489.69,1780571008
99,75,Amazon,2338.2,1780571009
100,94,Amazon,2627.3,1780571009
101,35,Flipkart,7296.67,1780571009
102,6,Zomato,6211.05,1780571009
103,53,Amazon,4410.17,1780571009
104,61,Flipkart,5238.46,1780571009
105,65,Zomato,5607.89,1780571009
106,43,Flipkart,2745.75,1780571009
107,89,Myntra,278.55,1780571009
108,63,Swiggy,4127.11,1780571009
109,53,Flipkart,1822.19,1780571010
110,97,Swiggy,7854.08,1780571010
111,31,Zomato,7822.71,1780571010
112,88,Amazon,6829.29,1780571010
113,45,Myntra,990.34,1780571010
114,98,Amazon,7632.99,1780571010
115,25,Amazon,6320.06,1780571010
116,13,Swiggy,7587.55,1780571010
117,12,Amazon,9646.53,1780571010
118,19,Myntra,875.35,1780571010
119,58,Flipkart,9311.48,1780571011
120,94,Amazon,5696.91,1780571011
121,77,Flipkart,320.7,1780571011
122,61,Myntra,8695.54,1780571011
123,63,Swiggy,9172.55,1780571011
124,80,Myntra,7233.93,1780571011
125,57,Amazon,5928.61,1780571011
126,54,Myntra,9410.79,1780571011
127,64,Flipkart,9160.92,1780571011
128,44,Swiggy,491.33,1780571012
129,13,Zomato,5799.07,1780571012
130,51,Flipkart,5349.05,1780571012
131,28,Myntra,7402.53,1780571012
132,32,Zomato,6467.49,1780571012
133,17,Flipkart,5830.84,1780571012
134,49,Amazon,4392.21,1780571012
135,55,Flipkart,2852.91,1780571012
136,88,Swiggy,3218.24,1780571012
137,8,Flipkart,3328.48,1780571012
